วันที่,Phase,หัวข้อ,Tasks,Deliverable,Milestone
1,Phase 1: รากฐาน,Setup โปรเจกต์ & Architecture,"สร้าง Unity Project 2022 LTS ตั้งค่า Isometric | สร้าง folder structure | ตั้งค่า Git + GitHub | วาง scene เปล่า | เขียน GameManager.cs skeleton",โปรเจกต์ Unity พร้อม structure + Git เชื่อมแล้ว,
2,Phase 1: รากฐาน,Grid System — IsometricGrid,"เขียน GridManager.cs ตาราง 12×9 | สร้าง Cell class | implement IsoToWorld() / WorldToIso() | วาด Gizmos debug | ทดสอบ coordinate",GridManager.cs ทำงาน + แสดง coordinate ใน Console,
3,Phase 1: รากฐาน,Camera & Input Controller,"เขียน CameraController.cs — Pan / WASD | ตั้งค่า Orthographic Camera | เพิ่ม Zoom scroll | เขียน InputManager.cs | ทดสอบกล้องลื่น",กล้องเคลื่อนได้ + คลิกแล้ว log grid position ถูกต้อง,
4,Phase 1: รากฐาน,Tilemap & Visual Foundation,"สร้าง Tilemap layers: Ground/Buildings/Overlay | Import placeholder tiles | วาด map Veltara 12×9 | กำหนด Z-order sorting | เพิ่ม fog-of-war placeholder",เห็น map isometric บน screen,
5,Phase 1: รากฐาน,Building Placement System,"เขียน PlacementController.cs | สร้าง BuildingData ScriptableObject | แสดง ghost สีเขียว-แดง | implement ConfirmPlace() | ยกเลิกด้วย right-click",วางอาคารได้ พร้อม visual feedback สีเขียว/แดง,✅ Milestone
6,Phase 1: รากฐาน,EventManager & Observer Pattern,"เขียน EventManager.cs ด้วย C# Action | สร้าง events หลัก | เชื่อม PlacementController → EventManager | ทดสอบ subscriber | วาง architecture",EventManager.cs ทำงาน + test subscriber แสดง log ถูกต้อง,
7,Phase 1: รากฐาน,Review & Buffer — Phase 1,"ทบทวนโค้ด 6 วัน — refactor | เขียน unit test เบื้องต้น | แก้ bug | commit พร้อม message | วางแผน Phase 2",โค้ด Phase 1 สะอาด + ไม่มี critical bug,✅ Milestone
8,Phase 2: Core Systems,ResourceManager — ระบบทรัพยากร,"เขียน ResourceManager.cs ติดตาม Food/Water/RadiationProtection/Energy/Workers | สร้าง ResourceData struct | implement Tick() | subscribe OnBuildingPlaced | ทดสอบ",ResourceManager.cs + ทรัพยากรเปลี่ยนตามเวลา,
9,Phase 2: Core Systems,PopulationManager — ประชากร & Trust,"เขียน PopulationManager.cs | implement Trust decay | เพิ่ม worker strike event | สร้าง population demand | เชื่อม OnCrisis event",PopulationManager.cs + Trust ลดเมื่อทรัพยากรขาด,
10,Phase 2: Core Systems,CORE TOWER — Phased Construction,"เขียน CoreTowerManager.cs 3 phases | แต่ละ phase มี resource requirement | สร้าง progress bar | implement phase unlock | เชื่อม win condition",CORE TOWER สร้างได้ 3 phase พร้อม progress bar,✅ Milestone
11,Phase 2: Core Systems,HUD — UIManagerHUD,"เขียน UIManagerHUD.cs | สร้าง resource bar prefab | เพิ่ม CORE TOWER progress | เพิ่ม trust meter | ทดสอบ HUD อัปเดต real-time",HUD แสดงทรัพยากรทุกตัวแบบ real-time,
12,Phase 2: Core Systems,Tooltip System — 3 ชั้น,"เขียน TooltipController.cs | สร้าง Tooltip UI prefab 3 ชั้น | สร้าง BuildingKnowledge ScriptableObject | implement show/hide animation | เพิ่ม Reactor Core tooltip",Tooltip 3 ชั้นทำงาน + เห็น nuclear science จริง,
13,Phase 2: Core Systems,Moral Dilemma System,"เขียน MoralDilemmaManager.cs | สร้าง DilemmaData ScriptableObject | สร้าง Popup UI | implement consequence | สร้าง dilemma แรก",Popup dilemma ทำงาน + choice ส่งผลต่อค่าในเกม,
14,Phase 2: Core Systems,Review & Integration Test — Phase 2,"ทดสอบ flow สมบูรณ์ | ตรวจ performance | แก้ bug จากการทดสอบรวม | commit + tag v0.1-prototype | เขียน TODO Phase 3",ระบบ core ทำงานรวมกันได้ ไม่มี crash,✅ Milestone
15,Phase 3: Content,Codex System — Tech Tree,"เขียน CodexManager.cs | สร้าง CodexEntry ScriptableObject | สร้าง Codex UI sidebar | เพิ่ม Research Point system | สร้าง 5 entries แรก",Codex UI เปิดได้ + unlock ได้,
16,Phase 3: Content,Agriculture Branch,"เขียน Codex entries 6-10 (เกษตรนิวเคลียร์) | สร้าง 3 buildings เกษตร | implement Food production bonus | เขียน dilemma เกษตร",Agriculture branch ครบ + 3 buildings + 1 dilemma,
17,Phase 3: Content,Medical Branch,"เขียน Codex entries 11-15 (การแพทย์นิวเคลียร์) | สร้าง 3 buildings การแพทย์ | implement health bonus | เขียน dilemma การแพทย์",Medical branch ครบ + 3 buildings + 1 dilemma,
18,Phase 3: Content,Environment Branch,"เขียน Codex entries 16-20 (สิ่งแวดล้อม) | สร้าง 3 buildings สิ่งแวดล้อม | implement Radiation Zone | เขียน dilemma สิ่งแวดล้อม",Environment branch ครบ + radiation zones,
19,Phase 3: Content,Exploration System,"เขียน ExplorationManager.cs | สร้าง zone map 6 zones | implement risk calculation | สร้าง Exploration Popup | สร้าง reward system",ส่งทีม explore ได้ + team เสียชีวิตได้ถ้าไม่ระวัง,
20,Phase 3: Content,Story & Narrative Events,"เขียน NarrativeManager.cs | สร้าง narrative popup | implement 4 main scenarios | เขียน dialogue ภาษาไทย | implement Aethon/Keran relationship",Story events ปรากฏถูกเวลา + ตัวละครมี personality,
21,Phase 3: Content,Win/Lose & End Game Summary,"implement Win/Lose conditions | สร้าง End Game Summary Screen | แสดง Knowledge Summary | Codex recap | ปุ่มเล่นใหม่ + ดู Codex",เล่นจนจบได้ทั้ง 3 endings + End Screen,✅ Milestone
22,Phase 4: Polish,Pixel Art Assets,"สร้าง Dr. Auren Vasek sprite | วาด building sprites isometric | วาด CORE TOWER 3 stages | ตั้งค่า sprite import | ทดสอบบน Tilemap",Building sprites ครบ + CORE TOWER 3 stages,
23,Phase 4: Polish,UI Design Polish,"ออกแบบ HUD สวยงาม | สร้าง Main Menu | สร้าง Pause Menu | ออกแบบ Codex UI แบบ terminal | เพิ่ม animation fade",UI ทุกหน้าสวยงาม สอดคล้องกับ aesthetic,
24,Phase 4: Polish,Sound Design & Music,"หา ambient music royalty-free | เพิ่ม SFX สำคัญ | เขียน AudioManager.cs | ตั้งค่า volume mixer | ทดสอบเสียง",เกมมีเสียง BGM + SFX ครบ,
25,Phase 4: Polish,Save System & Settings,"เขียน SaveManager.cs ด้วย JSON | save game state ครบ | implement Load | สร้าง Settings Menu | ทดสอบ Save/Load",Save/Load ทำงาน + Settings ตั้งค่าได้,
26,Phase 4: Polish,Playtesting Round 1 — Internal,"เล่นทั้งเกมทุก ending | จดบันทึก bug | ตรวจ game balance | ตรวจ learning experience | สร้าง bug list + priority",Bug list ครบ + ระบุส่วนที่ต้อง balance,
27,Phase 4: Polish,Bug Fix Sprint,"แก้ Critical bugs ทั้งหมด | แก้ Major bugs | ปรับ game balance | ปรับ Tooltip text | commit + tag v0.9-beta",ไม่มี Critical bug + Major bug ลดลง 80%,
28,Phase 4: Polish,Playtesting Round 2 — External,"ให้เพื่อนเล่นโดยไม่อธิบาย | สังเกต pain points | เก็บ feedback Systems Thinking | ตรวจ nuclear content ถูกต้อง | จด UX improvements",Feedback จาก external tester + UX improvement list,
29,Phase 4: Polish,Final Polish & Minor Fix,"แก้ Minor bugs + UX | เพิ่ม loading screen | เพิ่ม credits screen | ตรวจ performance | Build .exe ทดสอบ",Build .exe พร้อม ทำงานบน Windows 10 ขั้นต่ำ,
30,Phase 4: Polish,Final Build & Documentation,"Final build .exe + installer | สร้าง README.md | เตรียม presentation video 3-5 นาที | ตรวจ proposal สอดคล้อง | ส่ง NSC submission",ส่ง NSC ครบ: .exe + source code + proposal + video,✅ Milestone
