วันที่,Block,ประเภท,หัวข้อ,Tasks (CC = Claude Code | คน = ทำเอง),Deliverable,Milestone,หมายเหตุ
1,รากฐาน (1-4),Hybrid,เขียน Spec + CLAUDE.md (วันสำคัญที่สุด),"[คน] เขียน Game Design Doc + tech spec | [คน] ออกแบบ data model ทั้งหมดให้ serializable ตั้งแต่แรก | [CC] ช่วยร่าง architecture + ตรวจ data contract | [คน] สร้าง CLAUDE.md ใน repo",Spec ชัด + CLAUDE.md + data model ครบ,,วันนี้ลงทุนหนักสุด ถ้า spec กำกวม Claude Code จะ generate ผิดทุกครั้ง
2,รากฐาน (1-4),Claude Code,Scaffold architecture ทั้งหมด,"[CC] generate ทุก manager skeleton: GameManager / EventManager / Resource / Population / CoreTower / Codex Manager | [CC] generate ScriptableObject + save-ready data structs | [คน] สร้าง Unity project + Git + folder structure + scenes เปล่า",โครงโค้ดทั้งระบบพร้อม + compile ผ่าน,,Claude Code generate ได้เร็วถ้า spec วันที่ 1 ชัด
3,รากฐาน (1-4),Hybrid,Grid System + Camera + Input,"[CC] เขียน GridManager (IsoToWorld/WorldToIso) + CameraController + InputManager | [คน] Editor: Tilemap layers / Orthographic camera / sorting order | [คน] verify iso math จริงบนจอ",คลิก grid ถูกตำแหน่ง + กล้องเคลื่อนลื่น,,sorting order ของ sprite isometric เป็นจุด bug บ่อย ต้องตรวจเอง
4,รากฐาน (1-4),Hybrid,Building Placement System,"[CC] PlacementController + ghost preview + ValidateCell() | [คน] Editor: wire BuildingData prefabs / ghost material สีเขียว-แดง | [คน] ทดสอบวาง/ยกเลิก",วางอาคารได้พร้อม visual feedback,✅ Milestone,
5,Core Code (5-9),Claude Code,Resource + Population + Trust,"[CC] generate ResourceManager + PopulationManager พร้อมกัน | [CC] Trust decay + worker strike + population demand | [คน] เสียบค่า rate เบื้องต้น + ทดสอบ",ทรัพยากร+Trust เปลี่ยนตามเวลาและการตัดสินใจ,,
6,Core Code (5-9),Claude Code,CORE TOWER + Win/Lose + Save System (ทำเร็ว!),"[CC] CoreTowerManager 3 phases + win/lose conditions | [CC] SaveManager (JSON) ทำพร้อม data model วันที่ 1 | [คน] ทดสอบ save → ปิด → load ต่อได้",CORE TOWER 3 phase + Save/Load ทำงาน,,ทำ Save ตอนนี้เลย ไม่ต้องย้อนแก้ data model ทีหลัง
7,Core Code (5-9),Hybrid,HUD + Data Binding,"[CC] UIManagerHUD logic + subscribe events | [คน] Editor: build Canvas layout / resource bars / progress bar | [คน] ทดสอบ HUD อัปเดต real-time",HUD แสดงทุกค่าแบบ real-time,,Canvas layout ต้องทำใน Editor ด้วยมือ
8,Core Code (5-9),Claude Code,Tooltip 3 ชั้น + Moral Dilemma,"[CC] TooltipController (3 ชั้น) + DilemmaManager (data-driven จาก ScriptableObject) | [คน] Editor: Tooltip prefab + Popup UI | [คน] ใส่ dilemma ทดสอบ 1 อัน",Tooltip + Dilemma popup ทำงาน (เนื้อหาเติมทีหลัง),,
9,Core Code (5-9),Hybrid,Integration Test — ปิด Block โค้ด,"[คน] ทดสอบ full loop: วาง→resource→population→HUD→save | [CC] แก้ bug จาก repro ที่ชัด | commit + tag v0.1",Prototype เล่นได้ครบ loop (ยังไม่มีเนื้อหา),✅ Milestone,
10,Content (10-18),คนทำเอง ⏳,Codex framework + 5 entries แกน,"[CC] CodexManager + Research Point system | [คน-research] เขียน 5 entries: Fission / Chain Reaction / Half-life / Coolant / Radiation จากแหล่ง TINT | เขียนให้เด็กมัธยมอ่านเข้าใจ",Codex เปิดได้ + 5 entries แกนถูกต้องทางวิทยาศาสตร์,,Claude Code ร่างได้แต่ต้องตรวจเองทุก entry
